schema_version,stop_id,course_id,course_name_ko,course_type_code,course_type_name_ko,region_ko,day_no,stop_no,time_slot_code,time_slot_name_ko,category_code,category_name_ko,place_name_ko,address_ko,duration_min,guide_note_ko
1,S01-D1-01,S01,순천 정원·도심 당일코스,day_trip,단기코스,순천,1,1,morning,오전,attraction,관광명소,순천만국가정원 및 습지,전라남도 순천시 국가정원1호길 47,150,정원과 습지를 여유 있게 관람
1,S01-D1-02,S01,순천 정원·도심 당일코스,day_trip,단기코스,순천,1,2,lunch,점심,restaurant,맛집,순천 대원식당 (남도 한정식),전라남도 순천시 장천3길 13-11,70,남도 한정식으로 지역 음식 체험
1,S01-D1-03,S01,순천 정원·도심 당일코스,day_trip,단기코스,순천,1,3,afternoon,오후,cultural_space,문화공간,순천 드라마촬영장,전라남도 순천시 비례골길 37,90,시대별 거리와 촬영장을 산책
1,S01-D1-04,S01,순천 정원·도심 당일코스,day_trip,단기코스,순천,1,4,afternoon,오후,cafe,카페,순천 브루웍스 (복합문화카페),전라남도 순천시 역전길 61,60,여행 마무리 휴식
1,S02-D1-01,S02,여수 바다·도심 당일코스,day_trip,단기코스,여수,1,1,morning,오전,cultural_space,문화공간,여수 아쿠아플라넷 여수,전라남도 여수시 오동도로 61-11,120,해양생물 중심 실내 관람
1,S02-D1-02,S02,여수 바다·도심 당일코스,day_trip,단기코스,여수,1,2,morning,오전,attraction,관광명소,여수 오동도,전라남도 여수시 수정동 산소서로,90,해안 산책로와 섬 풍경 감상
1,S02-D1-03,S02,여수 바다·도심 당일코스,day_trip,단기코스,여수,1,3,lunch,점심,restaurant,맛집,여수 게장거리 명동게장,전라남도 여수시 봉산남4길 23,60,여수 대표 게장 식사
1,S02-D1-04,S02,여수 바다·도심 당일코스,day_trip,단기코스,여수,1,4,afternoon,오후,attraction,관광명소,여수 이순신광장 및 거북선,전라남도 여수시 중앙동 385,60,도심 역사 명소 탐방
1,S02-D1-05,S02,여수 바다·도심 당일코스,day_trip,단기코스,여수,1,5,afternoon,오후,cafe,카페,여수 모이핀 (오션뷰 대형카페),전라남도 여수시 돌산읍 무술목길 50,70,바다 전망과 함께 휴식
1,S03-D1-01,S03,담양 대숲·문화 당일코스,day_trip,단기코스,담양,1,1,morning,오전,attraction,관광명소,담양 죽녹원,전라남도 담양군 담양읍 죽향문화로 365,100,대나무 숲길 산책
